nome1,nome2,nome_comp,%teor_alc,IBU_amargor,tipo,ingredientes,descr
Colorado,Nassau,Colorado Nassau,5.8,47,WHITE IPA,"Água, malte de cevada, malte de trigo, suco de caju e lúpulo.","A Cerveja Colorado Nassau é uma white IPA feita com adição de caju em conjunto com Dry hopping usando o lúpulo Equinox. Cerveja clara e não filtrada, sabor marcante com amargor presente na medida, tem aroma de frutas tropicais para destacar o aroma do caju. Harmoniza muito bem com frutos do mar, comidas apimentadas e queijos fortes."
Colorado,Ribeirão Lager,Colorado Ribeirão Lager,4.5,20,AMERICAN LAGER,"Água, malte de cevada, lúpulo e extrato de casca de laranja.","Uma cerveja que o nome já diz tudo. Nascida em Ribeirão Preto, nossa casa, é uma lager leve e refrescante, mas com a cara de Colorado, uma cervejaria que nunca faria mais do mesmo: cerveja clara com laranja, com IBU 20 e 4,5% de teor alcoólico com toda qualidade da primeira cervejaria artesanal do Brasil por um preço muito mais acessível do que a maioria!"
Colorado,Rosália,Colorado Rosália,4.5,10,FRUIT BEER,"Água, malte de cevada, extrato aromático de hibisco, suco de amora do mato, suco de cambuci, suco de cereja-do-rio-grande, suco de grumixama e lúpulo.","A Cerveja Colorado Rosália traz a brasilidade das frutas vermelhas (grumixama, amora do mato e cereja do rio grande), adicionadas ao hibisco, flor símbolo do Havaí. Seu sabor leve, ácido e adocicado casa perfeitamente com o herbal proveniente do hibisco, proporcionando um aroma frutado e uma experiência única."
Colorado,Vixnu,Colorado Vixnu,9.5,75,IMPERIAL IPA,"Água, malte de cevada, rapadura, açúcar, lúpulo e fermento.","Vixnu, além de ser o nome de uma das principias divindades hindus, é também o nome desta deliciosa variação da receita India Pale Ale. A mistura de lúpulos americanos com o toque especial da rapadura conferem a essa cerveja um delicioso equilíbrio entre o sabor do malte e as notas cítricas do maracujá. O resultado? Um amargor agradável e persistente, ideal para quem gosta de cervejas extremas."
Beck's,Beck's,Beck's ,5,20,GERMAN PILSNER,"Água, malte e lúpulo.","Beck’s é uma legítima German Lager Puro Malte, que segue à risca a lei da pureza da cerveja alemã desde 1873. Seu IBU (unidade internacional de amargor) é 20. O resultado é uma cerveja de amargor intenso, sabor marcante e excepcional pureza.Ela é provocante, cheia de personalidade e com um sabor característico e único. A cerveja alemã mais vendida no mundo."
Corona,Corona,Corona ,4.6,18,AMERICAN LAGER,"Água, malte, arroz e lúpulo.","Corona Extra é a cerveja mais vendida e a marca mais exportada do México. Esta cerveja do tipo Pilsen foi produzida pela primeira vez em 1925 pela Cervecería Modelo, localizada na Cidade do México. Possui sabor leve de baixa graduação alcoólica. Uma fatia de limão no gargalo reforça a acidez com suas doses cítricas, fazendo com que a experiência de tomar a Corona se torne especial. Corona não é só uma cerveja, é um estilo de vida. Um convite para se desconectar da rotina e aproveitar mais a vida lá fora, na praia e curtindo um pôr do sol com os amigos."
Corona,Coronita,Coronita,4.6,18,AMERICAN LAGER,"Água, malte, arroz e lúpulo.","Em uma garrafa de 210ml, Coronita é perfeita para momentos descontraídos e tranquilos. Leve um pack para o próximo encontro entre amigos e não esqueça de levar o limão. Corona não é só uma cerveja, é um estilo de vida. Um convite para se desconectar da rotina e aproveitar mais a vida lá fora, na praia e curtindo um pôr do sol com os amigos.A Corona clássica: gelada e com uma fatia de limão."
Original,Original,Original ,4.9,"9,5",AMERICAN LAGER,"Água, malte, milho e lúpulo.","Mais que uma simples cerveja, é uma verdadeira preciosidade engarrafada. Reconhecida por preservar sua essência, tradição e qualidade, a marca Original, criada em 1931, é considerada um clássico entre os apreciadores da bebida. Cerveja do tipo Pilsen, tem sabor suave, com leve amargor e aroma de lúpulo. A alta carbonatação garante a refrescância, fazendo desta uma das cervejas favoritas dos brasileiros."
Skol,Pilsen,Skol Pilsen,4.6,8,AMERICAN LAGER,"Água, malte, milho e lúpulo.","A clássica redonda que anima qualquer momento. Seu nome vem da palavra escandinava skål, que significa “à vossa saúde/à nossa saúde”; expressão comum que antecede brindes. É hoje a maior do segmento no mercado brasileiro e a quinta maior do segmento no mundo. Cerveja do tipo Pilsen, Skol é uma cerveja clara, com aroma refinado e sabor leve e suave. Skol Pilsen é uma típica cerveja clara, com aroma refinado e sabor leve e suave. Seu teor de amargor é menos acentuado e seu teor alcoólico é médio."
Skol,Puro Malte,Skol Puro Malte,4.4,11,PREMIUM AMERICAN LAGER,"Água, malte e lúpulo.","Só a puro malte Skol é levinha e não pesa. É perfeita para o solzão de um churrasco, com a galera na praia ou até mesmo no happy hour, sempre fazendo a diversão durar mais tempo. Leve e democrática, ela é resultado de um processo inovador que destaca o sabor do puro malte e aquele detalhe que nenhuma outra tem: desce redondo."
Michelob,Ultra,Michelob Ultra,3.5,3,ULTRA LIGHT LAGER,"Malte, lúpulo e arroz","Michelob Ultra é uma cerveja de baixa caloria e baixo teor de carboidratos, extremamente refrescante. São 79 calorias e 2,4g de carboidratos (por long neck, cerca de 80% menos carboidratos em relação às principais marcas do mercado*): uma escolha equilibrada para quem sabe aproveitar bem o hoje e quer aproveitar ainda mais o amanhã."
Patagonia,Amber Lager,Patagonia Amber Lager,4.5,"14,5",AMBER LAGER,"Água, malte, cereais não malteados e lúpulo.","A cor marrom acobreada e o sabor equilibrado de malte e lúpulo da Patagonia Amber Lager não deixam dúvidas: esta é uma American Amber Lager clássica! Os maltes Melanoidin, Carared e Carapils usados em sua produção lhe conferem um aroma sutil de caramelo e boa formação de espuma. Deguste esta cerveja com bacalhau, anchovas ou frutos do mar para realçar ainda mais sua refrescância."
Patagonia,Bohemian Pilsener,Patagonia Bohemian Pilsener,5.2,18,BOHEMIAN PILSNER,"Água, malte e lúpulo.","A Patagonia Bohemian Pilsener é uma tradicional cerveja do tipo Pilsen. Ela é produzida com o lúpulo tcheco Saaz que proporciona um aroma fresco e frutado bem característico, além de uma coloração dourada profunda. Escolha pratos com frutos do mar e peixes, como anchovas ou bacalhau, para combinar com o sabor dessa cerveja argentina."
Patagonia,Weisse,Patagonia Weisse,4.4,10,WITBIER,"Água, maltes de cevada e trigo, cereais não malteados, lúpulo, extratos naturais de laranja e semente de coentro.","A Patagonia Weisse tem aroma cítrico marcante e cor clara — características tradicionais das cervejas de trigo do tipo Witbier. Notas de laranja, limão e abacaxi equilibram perfeitamente esse aroma e o sabor refrescante e pouco adocicado desta cerveja. Experimente com saladas temperadas com limão, peixes e frutos do mar para harmonizar com este clássico rótulo argentino."
